ANNÉE,MARQUE,MODÈLE,CATÉGORIE DE,CYLINDRÉE,CYLINDRES,TRANSMISSION,TYPE DE,CONSOMMATION DE CARBURANT*,,,,ÉMISSIONS DE CO2,,,,
MODÈLE,,,VÉHICULE,(L),,,CARBURANT,VILLE (L/100 km),ROUTE (L/100 km),COMB (L/100 km),COMB (mi/gal),(g/km),,,,
2015,BUICK,LACROSSE,INTERMÉDIAIRE,3.6,6,AS6,X,13.7,8.6,11.4,25,262,,,,
2015,BUICK,LACROSSE,INTERMÉDIAIRE,3.6,6,AS6,E,18.7,12.4,15.8,18,253,,,,
2015,BUICK,LACROSSE AWD,INTERMÉDIAIRE,3.6,6,AS6,X,13.9,9.1,11.7,24,269,,,,
2015,BUICK,LACROSSE AWD,INTERMÉDIAIRE,3.6,6,AS6,E,18.6,12.6,15.9,18,254,,,,
2015,BUICK,LACROSSE eASSIST,INTERMÉDIAIRE,2.4,4,AS6,X,9.6,6.5,8.2,34,189,,,,
2015,BUICK,REGAL,INTERMÉDIAIRE,2.0,4,AS6,Z,11.4,7.9,9.8,29,225,,,,
2015,BUICK,REGAL,INTERMÉDIAIRE,2.0,4,M6,Z,11.6,7.6,9.8,29,225,,,,
2015,BUICK,REGAL AWD,INTERMÉDIAIRE,2.0,4,AS6,Z,12.4,8.7,10.7,26,246,,,,
2015,BUICK,REGAL eASSIST,INTERMÉDIAIRE,2.4,4,AS6,X,9.6,6.5,8.2,34,189,,,,
2015,BUICK,VERANO,COMPACTE,2.0,4,AS6,Z,11.4,7.9,9.8,29,225,,,,
2015,BUICK,VERANO,COMPACTE,2.0,4,M6,Z,11.6,7.6,9.8,29,225,,,,
2015,BUICK,VERANO,COMPACTE,2.4,4,AS6,X,11.1,7.4,9.4,30,216,,,,
2015,CADILLAC,ATS,COMPACTE,2.0,4,AS6,Z,11.1,7.9,9.7,29,223,,,,
2015,CADILLAC,ATS,COMPACTE,2.0,4,M6,Z,12.2,7.9,10.3,27,237,,,,
2015,CADILLAC,ATS,COMPACTE,2.5,4,AS6,X,11.1,7.2,9.3,30,214,,,,
2015,CADILLAC,ATS,COMPACTE,3.6,6,AS6,X,12.8,8.4,10.8,26,248,,,,
2015,CADILLAC,ATS AWD,COMPACTE,2.0,4,AS6,Z,11.5,8.5,10.2,28,235,,,,
2015,CADILLAC,ATS AWD,COMPACTE,3.6,6,AS6,X,12.8,8.9,11.0,26,253,,,,
2015,CADILLAC,CTS,INTERMÉDIAIRE,2.0,4,AS6,Z,11.5,7.9,9.9,29,228,,,,
2015,CADILLAC,CTS,INTERMÉDIAIRE,3.6,6,AS8,X,12.8,8.2,10.7,26,246,,,,
2015,CADILLAC,CTS AWD,INTERMÉDIAIRE,2.0,4,AS6,Z,12.3,8.5,10.6,27,244,,,,
2015,CADILLAC,CTS AWD,INTERMÉDIAIRE,3.6,6,AS6,X,12.8,8.9,11.0,26,253,,,,
2015,CADILLAC,CTS Vsport,INTERMÉDIAIRE,3.6,6,AS8,Z,15.1,9.9,12.7,22,292,,,,
2015,CADILLAC,ESCALADE 4WD,VUS - ORDINAIRE,6.2,8,A6,Z,16.2,11.4,14.0,20,322,,,,
2015,CADILLAC,ESCALADE 4WD,VUS - ORDINAIRE,6.2,8,A8,Z,15.9,11.1,13.8,20,317,,,,
2015,CADILLAC,ESCALADE ESV 4WD,VUS - ORDINAIRE,6.2,8,A6,Z,16.8,11.7,14.5,19,334,,,,
2015,CADILLAC,ESCALADE ESV 4WD,VUS - ORDINAIRE,6.2,8,A8,Z,16.4,11.7,14.3,20,329,,,,
2015,CADILLAC,SRX,VUS - ORDINAIRE,3.6,6,AS6,X,14.2,9.8,12.3,23,283,,,,
2015,CADILLAC,SRX AWD,VUS - ORDINAIRE,3.6,6,AS6,X,14.8,10.4,12.8,22,294,,,,
2015,CADILLAC,XTS,GRANDE BERLINE,3.6,6,AS6,X,13.6,8.6,11.3,25,260,,,,
2015,CADILLAC,XTS AWD,GRANDE BERLINE,3.6,6,AS6,X,13.7,8.9,11.6,24,267,,,,
